Index	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22
T30236842	0.248174022	0.788916421	0.291312929	0.151794615	9916	-4942	-4224	-5857	6928	9670966639	2491950813	-2471702411	-8032671879	4221342860	7/7/1987	8/18/1993	1	1	500	597	1	5
T30236843	0.149913199	0.4050619	0.326735837	0.631909509	3313	4909	2753	-6965	-9274	5629365706	9982687448	3836062135	8229855264	3058297302	9/27/1980	11/25/1988	1	1	118	588	1	6
T30236844	0.834571852	0.440731132	0.134083533	0.126793405	9143	1975	-7926	6757	-6046	2958786459	-8717446936	-5477646408	3981503677	4169689902	8/14/1987	2/26/1992	6	1	901	305	1	1
T30236845	0.669253517	0.456224006	0.378914873	0.254181521	-4934	-3956	1813	-8759	4203	2145663030	7047351650	6627366036	6931264520	-5672696881	12/10/1992	7/11/1985	1	1	516	438	9	14
T30236846	0.787225418	0.028784479	0.560380143	0.918460477	-2153	-7183	9734	-8667	2254	7912360223	-6331780950	-9046062090	-2530063810	-1957294168	4/1/1989	11/10/1991	2	4	708	805	1	1
T30236847	0.363633891	0.033234031	0.57900496	0.668843921	6159	9464	659	-5784	-5857	9818746139	-552323803	6148617800	-456815725	6480054091	9/26/1986	11/24/1989	1	1	67	269	1	3
T30236848	0.569002754	0.1873904	0.509903388	0.073610393	-9995	-8944	8225	-7741	-8978	-6686204717	-762297720	-4689211237	6490058269	5448588436	11/11/1984	10/11/1989	2	1	710	411	9	1
T30236849	0.104920813	0.428083472	0.983950217	0.008401186	-4119	3696	246	-7162	-7964	-4583050049	-2715962179	8770227820	2813036291	7062154539	11/29/1991	10/14/1992	1	2	541	703	1	3
T30236850	0.842566616	0.879764972	0.268274783	0.305550586	-6385	-7219	-692	-8455	-6623	-6053586223	6631454427	907559927	9602349417	-7547731552	1/1/1986	6/25/1993	1	1	567	340	1	1
T30236851	0.763081767	0.345686864	0.609104594	0.127103981	1181	4193	-1937	5760	-1852	9136814578	-7227616819	-3967278154	3201370509	7279113188	8/15/1988	7/6/1989	1	1	545	329	7	14
T30236852	0.057110485	0.647189528	0.363580621	0.829239057	541	769	6333	-7066	2495	3384077486	-5063087581	-9868034590	-8348689366	-5550608311	5/3/1987	9/22/1988	1	4	55	812	1	6
T30236853	0.860591065	0.464014979	0.314127874	0.512842843	-5522	-3598	3016	-5743	4017	3477005495	7722899443	6618545753	-6904123326	-9789600840	10/30/1987	11/16/1995	1	1	272	21	12	1
T30236854	0.865971699	0.557486928	0.859440214	0.015948084	-8023	-3729	3849	2384	7828	5893703506	5585518917	2849565989	840845721	810219829	8/19/1987	3/12/1992	1	1	506	230	7	4
T30236855	0.110720404	0.697049318	0.083698833	0.569922025	-5850	-2660	-8616	-5768	7486	8852605495	-7191398810	5432405285	2435793208	7765074253	6/2/1989	4/19/1987	1	2	421	707	1	2
T30236856	0.416890544	0.359712981	0.742963217	0.877159607	-5309	4244	632	142	8835	-9245506495	-9140086736	583129407	6019167468	6723424574	7/5/1989	4/30/1994	1	1	25	580	1	1
T30236857	0.769646893	0.900362619	0.502729476	0.159521562	-9375	-2904	6416	572	-6044	-7159477053	6808045080	-3133687650	-963231720	-4487758412	6/25/1985	4/20/1985	1	1	459	385	2	9
T30236858	0.194725187	0.820914533	0.723120195	0.106143806	6275	178	-4671	-3322	-6383	-371191758	6319114080	-4649296511	2691725771	1519427300	1/8/1989	7/27/1989	1	1	420	340	3	10
T30236859	0.361456083	0.187551642	0.5799311	0.964259615	-6485	3718	7885	-4697	-5667	7021000569	471834424	726437088	-8567741199	2103643400	9/11/1984	6/20/1987	1	2	451	707	2	1
T30236860	0.635373745	0.988538568	0.251147039	0.28863701	3499	-9671	9182	-1144	9051	152283167	-2109919697	-5170710093	4833027672	1110351978	3/16/1987	3/13/1993	1	1	370	3	2	1
T30236861	0.11635036	0.033075824	0.470133229	0.56269135	-6674	1504	3840	-2132	8827	-4286268030	-3379329069	-6597195708	794994565	-2385745200	1/22/1985	5/12/1993	1	1	62	269	1	1
T30236862	0.817874519	0.429718931	0.040007387	0.817843706	231	9095	8238	-165	9532	8954969907	-2825624781	953093162	7077083330	6918140359	3/5/1992	8/2/1989	1	1	55	462	1	1
T30236863	0.269990402	0.450100571	0.730544442	0.244840954	6274	-3158	-3329	-475	9608	-4148018239	-479594922	-185418370	-1307406321	-642912039	12/15/1991	10/24/1988	1	1	506	6	3	19
T30236864	0.830544816	0.918716484	0.440432121	0.491481096	-635	1269	4457	5798	-9701	-3671743337	-2548765079	-2090003730	-675848766	-8200202692	10/13/1981	8/24/1991	1	1	81	83	6	1
T30236865	0.467734222	0.39779147	0.32632475	0.066157475	6482	-3497	-4865	8444	-6832	-7431013538	-9692822202	4340551679	4230040342	7145762308	12/18/1989	8/4/1989	1	1	197	273	5	1
T30236866	0.45583174	0.888807859	0.474413985	0.098060028	7080	8006	8688	8841	-6984	-2355517601	-3368364525	-9586018054	8847907890	-2309103257	3/29/1994	12/19/1985	2	1	707	119	3	4
T30236867	0.453745876	0.636530193	0.909571673	0.582455584	9134	-8527	7100	-9276	-3815	-9657690510	416047408	-8113731895	-7246950224	-7684160557	3/12/1991	1/28/1993	1	1	340	230	1	1
T30236868	0.201972367	0.106593062	0.027858394	0.787892001	-6916	-1548	-305	-4883	4546	-2869966891	-1384886518	-5792294212	3064933324	8655070836	12/29/1990	12/9/1986	1	2	594	710	1	1
T30236869	0.738725438	0.0405998	0.298348773	0.422801011	-4785	-5747	1282	7408	-2227	-8792727902	-1471478744	-3130639216	8649514858	8145119304	8/3/1988	9/9/1989	2	2	710	702	7	1
T30236870	0.071629718	0.061492751	0.797740546	0.401563217	-8118	-6042	4269	6849	5956	-5697851520	-3000746104	-7492043974	4413661789	-8190370481	2/21/1989	8/6/1998	2	1	708	198	9	5
T30236871	0.468444229	0.330487457	0.014109412	0.617567905	-8017	-5005	-5788	3945	-5406	-5923870828	1575396967	-7572638503	-3298567256	-2282837021	7/8/1986	12/28/1987	1	1	547	206	4	1
T30236872	0.791314617	0.784070726	0.337074188	0.271684876	-9673	-6305	-6712	-8149	-3690	2190065740	-7524841996	2751073816	5753239676	7068607341	5/2/1994	4/22/1994	1	1	98	416	2	4
T30236873	0.053061288	0.88588265	0.076354092	0.98709771	6651	7702	-4484	-2827	2538	-1916802733	9384646001	8555491970	-1083025693	6398458676	9/26/1992	6/11/1989	1	2	302	706	1	6
T30236874	0.659606461	0.348651906	0.693313305	0.460371599	609	-999	-6790	-8999	3211	1156097546	-7771526359	2962744386	3767535869	3178975593	8/28/1992	7/1/1995	6	1	901	66	2	1
T30236875	0.786039666	0.467571698	0.023208461	0.767113337	8546	497	9650	6386	145	-2642525321	1162934730	-9033798244	9180742334	-6375740197	11/17/1978	8/4/1992	1	2	302	703	4	1
T30236876	0.647899125	0.8935939	0.398513333	0.579940786	-7676	-9639	8270	-5761	-7688	5002839822	2037074014	1684745262	8397083742	9025342017	10/10/1993	8/21/1989	1	1	195	363	3	2
T30236877	0.236975326	0.487094762	0.891592629	0.000372121	-8116	3943	-9954	-9102	3427	4205552603	695199402	-9357631482	-1571955138	-7651558499	4/28/1990	10/8/1994	1	1	116	323	13	10
T30236878	0.031981595	0.519207367	0.373453144	0.330921567	-6088	7703	-9493	5801	-1959	4075842281	-8954058535	-4695654890	7205412035	-3509580572	7/12/1988	7/11/1989	1	1	114	571	8	8
T30236879	0.754226533	0.275684943	0.552001375	0.266102394	5177	7911	-4309	-7364	7655	7728456950	-4727193934	3911725425	-3069181219	4323819712	7/1/1989	5/8/1997	2	1	704	325	4	2
T30236880	0.279836153	0.349600989	0.637356522	0.640874994	-4620	-2196	-3544	-6676	3508	-1962522940	4509802504	-9226390005	-4218942643	-8766139290	12/23/1980	2/24/1993	2	1	704	582	5	3
T30236881	0.996456658	0.163704925	0.400515124	0.426150625	-55	2592	-6147	-3431	6563	-3388478867	1688409789	1877703583	7369585989	4185850582	9/18/1991	1/21/1991	1	1	124	597	5	1
T30236882	0.436014943	0.482675257	0.811195924	0.803441914	-1461	1286	-4632	-218	9463	2484193484	-1273603104	2320490784	9629907237	5138376968	8/23/1986	8/31/1989	2	1	706	540	8	10
T30236883	0.250502066	0.582673871	0.13183357	0.330871498	6010	154	-7193	2276	-4766	2213311792	-4127707207	6017268483	244240474	-922713482	4/11/1989	11/20/1988	1	1	3	91	5	2
T30236884	0.100486589	0.748165768	0.150631196	0.348988031	-998	7123	-3477	-7322	-1708	3509336029	-243780388	-7674273638	5295242963	-6040956572	1/3/1990	7/2/1989	1	2	403	701	2	1
T30236885	0.098517546	0.654407551	0.159107854	0.122938084	-6721	5488	2258	6058	3338	4215286062	-7496067792	-6691209330	9661745845	-9447861996	3/30/1988	10/16/1994	1	1	565	34	10	1
T30236886	0.231779273	0.619677397	0.419672722	0.802288144	-8303	2086	-5365	-4235	2723	-9829104435	-9418945777	-4485861051	-2733471176	-2114201121	10/2/1994	3/18/1990	1	1	221	581	1	4
T30236887	0.476714903	0.346109153	0.998593292	0.00368817	-6857	-2627	-286	-5058	-5934	3921485007	-2921454246	-6764678976	8532720785	3090099537	1/23/1982	8/18/1992	1	2	236	708	1	2
T30236888	0.303602707	0.932028091	0.035759156	0.146681664	-2613	7195	4383	-3787	-5562	5046983245	2016677876	3603456814	-3006261531	-2310826238	5/16/1993	1/6/1999	1	1	524	251	1	6
T30236889	0.281511825	0.926717994	0.804158143	0.449271892	-5317	6399	-4201	-1018	-1124	2968037725	9197291949	8536525936	-2124629850	4030418230	8/5/1983	3/23/1993	1	1	185	45	1	1
T30236890	0.592603415	0.782226391	0.558605538	0.873233656	-6525	-7363	3718	-1351	-5351	-7070816034	4469748978	5525729229	-475587908	-1417010738	5/3/1989	9/15/1987	1	1	555	308	7	4
T30236891	0.160726469	0.825107467	0.048559464	0.711720992	6308	1033	1196	-4628	-4127	1257989621	-5662594940	6021429483	2048924564	-301873244	2/27/1981	11/14/1990	1	2	213	707	3	5
T30236892	0.800229307	0.186522457	0.611616485	0.258221165	9702	-2422	6776	-7929	9922	-9370761574	-7462114058	6569621921	1277242936	8945993494	3/14/1986	10/31/1988	1	1	567	578	5	1
T30236893	0.793680487	0.255834468	0.419337242	0.243794612	-7556	5375	-8756	-3308	4743	4455045105	9272147185	8469242050	-8801769614	-7046332422	4/13/1990	11/22/1993	1	1	102	348	1	1
T30236894	0.820742994	0.277603501	0.930343508	0.014840181	-9142	-1875	7177	-7041	5689	8945984601	3720334635	1058013558	1010216860	2038076064	5/31/1981	2/24/1990	1	1	260	349	1	1
T30236895	0.371487433	0.902797202	0.343438131	0.17659946	9733	8629	32	-9517	4192	-8624367803	1757884420	-62981580	6989359003	-936819468	3/30/1987	6/25/1991	1	4	345	808	2	1
T30236896	0.20783765	0.420055866	0.211502587	0.497763169	-6182	2548	-127	6394	2511	9129116151	-9398295360	-1139514643	-7008064141	6258564897	8/10/1986	1/2/1990	2	1	706	20	2	1
T30236897	0.38471916	0.073181184	0.527568363	0.751561679	-6257	-7107	5113	-4335	377	4676091002	4843698759	-2378155305	7121746177	7777094265	10/18/1991	5/14/1994	1	2	89	708	8	14
T30236898	0.282865639	0.636188363	0.392285847	0.861722789	445	-7500	-2952	1718	-9098	9970517101	787360992	9550451255	-2246612246	2238518545	9/27/1982	1/20/1990	1	1	123	484	6	21
T30236899	0.39824399	0.704107608	0.935183508	0.056867378	-1995	-5839	-3840	8519	8627	2571265597	-9576135519	3748345913	-8808779540	-5629828538	2/9/1990	2/19/1996	1	2	389	701	1	1
T30236900	0.792398791	0.693217504	0.271155563	0.343781638	-5586	-1499	-1612	2989	-6694	-1370043829	-7370703703	-2726049807	8993737081	-3296705833	1/15/1991	10/18/1992	2	1	702	267	1	7
T30236901	0.32668792	0.581893422	0.224650766	0.961355162	8251	-7402	9969	9222	8030	-4303513390	-5771158368	-1815012086	458454116	-2316590058	7/12/1982	4/18/1990	2	1	703	581	1	1
T30236902	0.170750672	0.507452038	0.65074463	0.107954587	9244	1859	88	8644	9936	-2272389774	6422060432	-3849051173	8826112832	6291817474	10/26/1987	9/7/1991	1	3	521	763	12	5
T30236903	0.160431274	0.019594609	0.536910545	0.489660176	-5752	-4048	-2255	-7052	-9955	-2312572246	7941380963	8357728941	-474282407	-1994637622	7/10/1982	8/28/1991	1	1	355	270	6	4
T30236904	0.911364366	0.875041394	0.056597022	0.549886795	-7647	3744	-8983	-4952	-7347	-594231457	7512033069	9611099587	-228086361	395301104	4/16/1990	6/26/1990	1	1	285	331	1	13
T30236905	0.329963595	0.372292028	0.929326999	0.866023512	8368	-1963	6209	7071	6269	7006447942	3057147685	3918172112	-2352131451	-1932125788	3/2/1992	7/30/1998	6	1	901	92	2	2
T30236906	0.293693876	0.049057818	0.09295616	0.217909378	-7733	758	1948	9708	-8017	7736851010	2279711595	-1851988318	-6532537564	749814837	7/23/1987	2/21/1991	2	1	709	241	1	5
T30236907	0.065082602	0.551966549	0.585254762	0.348243536	2682	1469	-5493	7271	-6201	5040992448	2604251390	2892532964	-2450783915	6522926278	12/6/1983	12/24/1989	1	1	323	122	1	1
T30236908	0.459073834	0.272266459	0.047982471	0.28447277	-3664	9162	9638	-2454	-4041	10190156	-63953666	560519492	-9401212699	2278099331	3/22/1990	7/7/1985	1	1	198	363	21	1
T30236909	0.876403555	0.001247132	0.399982367	0.351066367	-1067	-6372	6823	-9242	7733	-3280524416	-6319246277	9744182278	2609754933	6012612650	9/12/1982	3/27/1994	4	1	812	467	10	5
T30236910	0.053217643	0.291565124	0.907121661	0.981419919	-3844	8930	1421	-2972	-8960	3596072565	-9501744404	4687777951	6881051014	9371230007	5/24/1975	3/8/1990	2	1	708	352	1	1
T30236911	0.723841769	0.919658566	0.170008208	0.637920808	-903	-9259	9177	3908	9209	-2563839995	-7320299926	8345502820	-2105670327	9523855208	7/17/1993	3/11/1988	2	2	708	708	8	1
T30236912	0.898966569	0.782481009	0.999548968	0.538751204	4173	-4556	1215	754	-2597	-5354163130	-34843793	-2545605973	-1666974902	203357273	8/18/1989	6/8/1991	1	2	9	706	2	1
T30236913	0.368011737	0.870315607	0.470094915	0.429426343	2584	1787	4272	543	-5572	-5640691306	-3835980775	4868211216	9302977877	-2281755443	7/12/1978	3/28/1987	1	1	476	557	1	1
T30236914	0.732705498	0.311422106	0.229009816	0.142803246	-6017	8993	-6268	-7764	-1355	-7054943844	-2571211482	-9692812541	3099389533	-8436994428	12/30/1989	3/19/1998	1	1	110	404	9	20
T30236915	0.854053583	0.669158231	0.753085062	0.82425442	-7025	1447	5768	-9844	-862	7806271021	7133695142	-8090867733	4072270924	8862573801	10/6/1988	12/3/1990	1	1	532	12	7	1
T30236916	0.317358745	0.446280281	0.860925678	0.16614918	-1981	5766	2033	1822	-6983	5130115030	-4514683193	-6088292295	9462567722	-9276989163	10/20/1985	10/20/1994	1	1	54	292	8	1
T30236917	0.828532826	0.236575814	0.561157228	0.710754722	-6456	1554	502	-4779	-1749	2934668329	4343921282	-9031036666	8031270918	-9539871205	4/13/1989	11/21/1988	1	1	572	160	1	1
T30236918	0.498641443	0.463657392	0.049888931	0.722030209	1180	4910	-1015	623	5189	1349364388	4135461790	-499803176	5840843163	-2397025297	3/17/1988	3/12/1990	1	2	473	703	3	1
T30236919	0.769072205	0.354140836	0.528666203	0.305730895	9874	-9774	6349	801	7404	4008456454	9754378341	-8200126026	9681813834	1780547736	1/5/1987	12/19/1985	1	1	67	286	8	11
T30236920	0.894238931	0.413153557	0.811727515	0.596347005	-476	-8706	9316	8407	9874	921040857	-8346730620	7938880455	-8358120135	-9589392587	10/10/1995	5/25/1989	1	1	502	556	21	1
T30236921	0.895237429	0.171183486	0.805431764	0.039867445	-9969	2738	-7619	2351	-2748	-6616693638	2093242587	-7764923837	7077802944	126497916	11/10/1990	12/5/1994	1	1	178	389	1	2
T30236922	0.38334478	0.568747414	0.711909352	0.544267784	7783	-3539	5752	-7503	4367	-5977817973	7577294380	7641249587	419622957	2154584172	8/16/1983	3/16/1990	1	1	233	433	1	2
T30236923	0.162097277	0.720483636	0.482147752	0.365327698	485	9389	-753	9634	-4037	-3441444372	-6978745704	-2881429226	-2883095450	5655701018	4/1/1985	11/21/1995	1	1	598	182	1	1
T30236924	0.969602	0.682119785	0.680382408	0.619117156	-7047	9959	-9604	-1624	-290	9569844719	-8121808731	1264448572	176655488	7185785323	5/20/1994	1/4/1992	1	1	173	498	1	1
T30236925	0.065514121	0.717622032	0.143755226	0.479839676	-8027	-6184	-7231	4840	-4311	-9665999617	-5672663170	8600565045	-5073754465	578171712	3/18/1986	12/4/1985	1	2	593	709	5	1
T30236926	0.935453084	0.879810538	0.525256929	0.852543679	-3770	9160	-1546	-3940	-4396	4084343555	7986352240	5504785062	7438617110	8822867982	8/19/1985	9/15/1990	1	4	42	808	1	10
T30236927	0.760547996	0.606115516	0.504123783	0.773023208	-1479	-7366	990	3930	-8590	8036138270	4937112972	2608782668	-9644533064	-6247322715	6/29/1986	7/8/1996	1	1	85	194	1	7
T30236928	0.088630924	0.633581003	0.744541917	0.051060888	8733	2274	-5484	-2129	-4538	-8301598940	-1583534182	8618170934	2227051159	-2257368862	5/29/1981	4/6/1986	1	1	131	487	2	6
T30236929	0.205577342	0.269536683	0.405325851	0.270406816	643	9154	8095	529	1793	5393714353	-8451252716	3349393409	-2091558175	-759267259	12/25/1986	4/24/1989	1	1	439	532	1	2
T30236930	0.788616401	0.454157021	0.219986377	0.617690961	-4568	8272	7866	-5566	-199	8607016956	-7683224371	9726584318	-1961832427	-8163607824	2/19/1989	3/4/1990	1	1	598	110	8	1
T30236931	0.036834965	0.025142779	0.736611501	0.233091783	9638	-4829	5498	2402	-1589	-7659635919	-3878791790	4574527728	2767697580	-8473068127	3/2/1985	9/24/1991	1	1	224	214	16	1
T30236932	0.43635436	0.927753034	0.581879974	0.307936585	2222	-8963	3420	-4674	3322	8187958568	8236708544	-8482305109	5473859041	7467027568	11/26/1986	8/15/1989	1	1	14	40	5	1
T30236933	0.069583845	0.343472174	0.361853706	0.840012856	9533	-1246	-4854	3901	-1019	-709517079	4511109757	-8596350866	8297301319	-3852622567	5/15/1984	1/10/1992	1	2	49	708	2	1
T30236934	0.460412456	0.750870051	0.81145841	0.042618269	5196	-635	4767	-5672	-5005	700665618	490367456	3571594100	-7006354482	4476145626	4/27/1986	10/13/1995	1	1	323	546	2	9
T30236935	0.350187554	0.133175117	0.482053449	0.369991609	-7338	243	5977	7244	-4717	-5955345335	4483968271	5757121357	6229906295	9385162694	7/23/1986	7/29/1995	1	1	160	39	1	1
T30236936	0.235207863	0.322962024	0.025857748	0.940336896	-9886	3502	2426	-7016	7857	6052567670	-9772304040	-6197256330	-9554323097	-7077484603	4/17/1992	12/23/1991	1	6	488	901	10	1
T30236937	0.829125518	0.753047083	0.241003003	0.535602676	-7978	-6511	9853	-4355	9720	-1121329009	-4259454968	5016169982	-3168325842	8695746394	12/13/1983	12/21/1988	1	1	597	491	21	4
T30236938	0.527203571	0.690494234	0.690781979	0.246164827	3425	8320	-9041	-4639	-4116	460933398	1823693028	-7221826234	-1848746712	3203969899	5/27/1990	8/9/1991	1	1	438	478	1	12
T30236939	0.176756847	0.217681656	0.65865143	0.785010036	4361	169	2446	-6596	9645	-237903342	-7796862776	9072646689	9168740401	1599036328	1/30/1989	3/6/1987	1	1	374	569	11	1
T30236940	0.54524809	0.347524561	0.207468643	0.612345462	-5482	-4130	8875	3407	3225	478249151	-4816540393	2061140710	8702135733	-4151834645	5/6/1988	12/31/1986	1	1	53	263	2	3
T30236941	0.385363411	0.619355872	0.458082755	0.530754821	9843	8145	-5885	1220	-7725	-6606497616	6582929789	9490843123	-9398672535	-9513468088	8/18/1991	7/3/1993	1	1	300	215	1	7
T30236942	0.525381977	0.765534197	0.636967407	0.584371713	-14	-3198	-2249	5475	-9815	6846173441	-7635113879	802481401	-3244690493	7559054537	12/7/1990	3/22/1987	1	1	594	527	2	4
T30236943	0.773378703	0.202093584	0.621325475	0.037976854	-8611	137	4798	9155	1335	-403464865	7112172095	3315403792	2882568562	1425034769	12/10/1981	2/15/1990	1	1	446	257	1	7
T30236944	0.660675432	0.242600619	0.641581754	0.923077963	8411	1565	7912	-9261	1836	-7251121946	6080289267	-6100490257	3635038370	-974445937	11/16/1982	4/6/1994	1	2	376	703	6	2
T30236945	0.218020476	0.917581118	0.913505281	0.669382752	-559	5338	449	3846	-1526	-8546684647	-2353312681	-3012483928	-8445549995	-5802090220	8/22/1988	11/13/1995	1	1	182	110	1	8
T30236946	0.645793912	0.255628849	0.808710385	0.348107765	9435	-1554	-4955	-9234	3538	7199888640	-7544842585	3191364763	1459724914	7449454071	2/15/1986	11/29/1990	1	4	13	810	5	14
T30236947	0.540022166	0.73580386	0.981617848	0.451215035	8240	576	-8770	2712	-5544	-9049785325	5888347983	-8166577398	1048089717	5848175229	8/23/1987	6/21/1991	1	1	531	74	4	1
T30236948	0.193263059	0.333162546	0.443632591	0.723818221	-2158	-6089	1457	-598	2456	8636612539	-327895149	-7462875804	-6463070050	-7690253877	11/11/1991	9/2/1988	6	1	901	249	1	1
T30236949	0.160902055	0.039769953	0.932733428	0.459772751	6777	-2839	118	6616	6462	7615925918	-9225567294	2109769564	-9180626182	-2121248402	11/21/1984	8/9/1996	1	1	413	57	1	1
T30236950	0.713398889	0.871281972	0.553243868	0.881935356	1829	3238	-1311	-8247	-5608	-198703308	1687144646	-373219894	4925038428	-364513935	8/7/1989	12/30/1991	1	1	344	220	3	1
T30236951	0.426224919	0.527680399	0.877031688	0.67153883	8826	6188	-6917	-5578	8667	4974964320	-7574740634	8039529718	466352691	9219506276	12/31/1981	12/29/1987	1	1	423	186	2	7
T30236952	0.623341287	0.705605131	0.492764058	0.650125477	6351	-7021	-1732	5146	4106	-4807088446	-1030564774	-4897836219	-2013818551	873173602	11/29/1991	2/23/1993	1	1	159	134	3	1
T30236953	0.471133922	0.142540875	0.652709381	0.902104639	470	7052	2639	-2313	-4692	-6503891026	2842365202	597800015	3515647758	1771279703	8/8/1985	3/12/1986	4	1	801	259	7	14
T30236954	0.811731586	0.42020275	0.60888845	0.289791971	-6959	-1711	-2281	-9470	-2328	4360746643	-9429066728	5309682369	-2638535639	-7901738034	9/15/1982	3/11/1990	1	1	347	76	9	4
T30236955	0.227453551	0.585525871	0.313705438	0.567193789	2056	656	9113	7656	-2565	-8945080748	5029282531	7516578582	6847764358	4586227299	8/9/1986	6/17/1984	1	1	48	411	3	6
T30236956	0.612093843	0.418280551	0.469410071	0.431779752	5748	644	160	-5896	6829	5038418820	-7360196514	-6484013467	-2440958327	-1282811449	5/25/1991	8/9/1994	1	1	16	316	9	1
T30236957	0.657044484	0.390315262	0.594686135	0.238648887	9029	8117	-1967	-3039	2546	-5945571361	762621529	9035197927	-434383625	5455427065	7/27/1979	3/30/1992	1	1	84	594	1	1
T30236958	0.660154833	0.363475437	0.870099971	0.369947134	8174	1096	-4252	5150	-6524	-8147745016	8365835063	-9204750476	4024449080	2278867293	8/30/1990	4/17/1997	1	1	38	352	1	15
T30236959	0.784306582	0.981491151	0.440634688	0.785181837	7165	-4941	-50	-7157	3474	5760615155	-7871107492	-3692888480	8459818632	8792139718	8/5/1984	4/12/1985	2	1	709	91	1	7
T30236960	0.859945598	0.698135655	0.612856279	0.740783759	8338	7197	1641	-6402	9735	6957848462	5994256765	1111735797	7662845483	-2012929995	5/11/1985	2/8/1992	1	1	353	153	2	6
T30236961	0.252235836	0.016461834	0.023934215	0.617342346	-5056	-1703	5760	-9510	9471	1029180900	-7921538538	-1759566893	3785177669	7967077281	12/3/1983	1/8/1991	1	1	181	206	3	1
T30236962	0.216072493	0.283220334	0.97824421	0.232091022	1023	-2254	-4027	-8420	6380	8052177250	7552643459	546030290	-1273508900	7996126835	2/4/1988	10/16/1990	1	1	189	156	12	1
T30236963	0.925387629	0.65704299	0.689011127	0.713300026	-685	-9324	1467	1370	670	4001328177	-9045026793	-7887165653	-4419689069	8330821872	11/13/1981	8/16/1993	2	1	710	505	1	10
T30236964	0.856341703	0.348558448	0.115930098	0.413130726	-910	2057	4273	-547	-9227	2438896948	-519202004	3758246783	-314205936	3421578988	5/14/1983	1/11/1992	1	1	415	539	1	1
T30236965	0.620694116	0.642925173	0.056842551	0.769221469	6800	1023	-4652	2675	-9382	4223861438	-6423429542	550889978	1971177051	2505780407	12/14/1991	2/5/1988	1	1	4	458	5	9
T30236966	0.60435455	0.447127606	0.048282383	0.643253742	-2927	3181	-1239	-4079	-4363	-3880176290	1112839432	-2861435074	-3825635451	-354002027	8/7/1987	10/23/1989	1	1	445	583	2	1
T30236967	0.070117223	0.089251792	0.064626523	0.472635998	-3311	1220	901	2902	4204	7459031206	7168599912	-2953784857	234452677	-6769399275	5/1/1980	11/2/1986	3	1	763	521	1	2
T30236968	0.334332776	0.63592419	0.467587478	0.238185019	8351	2552	7054	-1274	7852	5525649709	-3797787491	7901585947	-1509930918	-9292398199	10/14/1994	5/15/1995	1	1	61	337	3	1
T30236969	0.113222465	0.357776529	0.298681114	0.510080055	9171	1142	6215	5538	-4905	8668311774	793449897	606288183	-6262373712	5406029131	5/19/1982	10/9/1989	1	1	82	301	1	1
T30236970	0.985507762	0.792199855	0.430463843	0.818159522	-1956	8171	-7386	-3743	-6101	-4358325483	2003232455	-5422421413	3251708663	2564044168	12/31/1989	1/31/1989	1	1	189	279	1	8
T30236971	0.88635128	0.392110977	0.434284499	0.234994265	7877	-1004	-7202	-5816	5922	797907824	-3158406112	-4556106356	8547209183	9376057109	8/2/1984	7/27/1991	1	1	88	336	1	1
T30236972	0.933869093	0.499709753	0.701600319	0.281234234	-830	1263	8571	6805	-506	-7512657717	-9300567880	9487706176	-3300158200	-8824296299	8/26/1989	2/8/1992	1	1	350	220	1	3
T30236973	0.536514514	0.939857039	0.639518538	0.967758373	-2165	6648	40	4538	-4079	2705919772	8532829281	-4513250158	-8225141962	2581682054	4/6/1977	3/21/1986	2	1	708	435	5	1
T30236974	0.605859661	0.553243457	0.43586465	0.626107402	-875	-7718	5323	4118	-5510	-9917917100	725352052	3987863497	7217255317	-7696346238	5/5/1991	7/6/1988	1	1	287	429	4	2
T30236975	0.257608204	0.541345482	0.330623887	0.415421923	-1554	2672	-8720	6299	-2758	6661870225	-7039132494	-1618812053	5533321479	4567534570	8/10/1981	8/26/1990	1	1	515	540	1	2
T30236976	0.298466026	0.468737387	0.829036572	0.398561597	-5844	-1872	1831	1194	-6693	1353767992	782844876	2836214393	-1043957955	6741259424	1/8/1991	8/1/1989	1	1	201	329	3	1
T30236977	0.460346065	0.334606239	0.773167768	0.422423799	-6573	-6914	3768	-1548	9386	8327254110	5066538757	-7233916651	1136129430	-7128152883	10/4/1990	11/14/1995	4	1	815	402	1	11
T30236978	0.18190686	0.368744646	0.650263018	0.562420647	8928	-3749	1843	-1021	6315	7891386037	9717607428	8030196543	2282388399	46468050	10/31/1991	8/17/1985	1	1	350	499	1	10
T30236979	0.75777029	0.233948274	0.648643897	0.997758084	-2531	-1409	-6933	5540	-8315	3624574613	-1860322745	-6371140495	-927596303	-9697484708	1/31/1982	5/7/1994	6	1	901	241	16	6
T30236980	0.135188629	0.878635653	0.926692712	0.517919769	6223	830	5180	-6126	-3231	3544126730	-3063128332	-1070029972	9107820910	-6047568722	3/28/1989	1/9/1989	1	1	558	105	3	1
T30236981	0.280273071	0.28206109	0.025260781	0.825126014	865	-8576	6589	9702	104	6402216419	-5790754428	-8960816881	7242584715	9086948951	7/30/1991	5/24/1985	2	1	703	234	1	9
T30236982	0.497492533	0.145626989	0.448012353	0.108724788	1493	4120	3694	4521	-9008	6269876590	-7574626316	-5823628135	7719984697	2670562822	8/30/1992	11/2/1989	1	2	232	706	4	1
